Unit Code,Unit Name,Unit Type,State, Visitors ,YearRaw
THST,Thomas Stone National Historic Site,National Historic Site,MD,"5,772",2015
CHYO,Charles Young Buffalo Soldiers National Monument,National Monument,OH,"3,993",2015
EUON,Eugene O'Neill National Historic Site,National Historic Site,CA,"3,942",2015
NICO,Nicodemus National Historic Site,National Historic Site,KS,"3,306",2015
CLBA,Clara Barton National Historic Site,National Historic Site,MD,"2,823",2015
BELA,Bering Land Bridge National Preserve,National Preserve,AK,"2,642",2015
THKO,Thaddeus Kosciuszko National Memorial,National Memorial,PA,"1,261",2015
YUCH,Yukon-Charley Rivers National Preserve,National Preserve,AK,"1,133",2015
POCH,Port Chicago Naval Magazine National Memorial,National Memorial,CA,963,2015
ANIA,Aniakchak National Monument,National Monument,AK,153,2015
ANIA,Aniakchak National Preserve,National Preserve,AK,153,2015
RIGR,Rio Grande Wild and Scenic River,Wild and Scenic River,TX,120,2015
CAKR,Cape Krusenstern National Monument,National Monument,AK, -   ,2015
KOVA,Kobuk Valley National Park,National Park,AK, -   ,2015
NOAT,Noatak National Preserve,National Preserve,AK, -   ,2015
PAAV,Pennsylvania Avenue National Historic Site,National Historic Site,DC, -   ,2015
GOGA,Golden Gate National Recreation Area,National Recreation Area,CA,"15,004,420",2014
BLRI,Blue Ridge Parkway,Parkway,NC,"13,941,749",2014
GRSM,Great Smoky Mountains National Park,National Park,NC,"10,099,276",2014
GWMP,George Washington Memorial Parkway,National Parkway,VA,"7,472,150",2014
LINC,Lincoln Memorial,National Memorial,DC,"7,139,072",2014
LAKE,Lake Mead National Recreation Area,National Recreation Area,NV,"6,942,873",2014
GATE,Gateway National Recreation Area,National Recreation Area,NY,"6,021,713",2014
NATR,Natchez Trace Parkway,Parkway,MS,"5,846,474",2014
CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,DC,"5,066,219",2014
GRCA,Grand Canyon National Park,National Park,AZ,"4,756,771",2014
CACL,Castle Clinton National Monument,National Monument,NY,"4,727,110",2014
GUIS,Gulf Islands National Seashore,National Seashore,FL,"4,455,240",2014
CACO,Cape Cod National Seashore,National Seashore,MA,"4,426,750",2014
VIVE,Vietnam Veterans Memorial,National Memorial,DC,"4,403,467",2014
SAFR,San Francisco Maritime National Historical Park,National Historical Park,CA,"4,256,888",2014
WWII,World War II Memorial,National Memorial,DC,"4,230,793",2014
STLI,Statue Of Liberty National Monument,National Monument,NY,"4,198,815",2014
DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,PA,"4,041,672",2014
YOSE,Yosemite National Park,National Park,CA,"3,882,642",2014
KOWA,Korean War Veterans Memorial,National Memorial,DC,"3,767,287",2014
INDE,Independence National Historical Park,National Historical Park,PA,"3,648,050",2014
YELL,Yellowstone National Park,National Park,WY,"3,513,484",2014
ROMO,Rocky Mountain National Park,National Park,CO,"3,434,751",2014
COLO,Colonial National Historical Park,National Historical Park,VA,"3,335,060",2014
OLYM,Olympic National Park,National Park,WA,"3,243,872",2014
MLKM,"Martin Luther King, Jr., Memorial",Other Designation,DC,"3,199,136",2014
ZION,Zion National Park,National Park,UT,"3,189,696",2014
CHAT,Chattahoochee River National Recreation Area,National Recreation Area,GA,"3,119,160",2014
FRDE,Franklin Delano Roosevelt Memorial,National Memorial,DC,"2,938,239",2014
GRTE,Grand Teton National Park,National Park,WY,"2,791,392",2014
JEFM,Thomas Jefferson Memorial,National Memorial,DC,"2,708,607",2014
ACAD,Acadia National Park,National Park,ME,"2,563,129",2014
BOST,Boston National Historical Park,National Historical Park,MA,"2,476,078",2014
ROCR,Rock Creek Park,Park,DC,"2,437,948",2014
PORE,Point Reyes National Seashore,National Seashore,CA,"2,433,944",2014
GLCA,Glen Canyon National Recreation Area,National Recreation Area,UT,"2,368,452",2014
GLAC,Glacier National Park,National Park,MT,"2,338,528",2014
CUVA,Cuyahoga Valley National Park,National Park,OH,"2,189,849",2014
ASIS,Assateague Island National Seashore,National Seashore,MD,"2,170,681",2014
CAHA,Cape Hatteras National Seashore,National Seashore,NC,"2,153,350",2014
MORU,Mount Rushmore National Memorial,National Memorial,SD,"2,144,808",2014
KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park,GA,"2,119,013",2014
VAFO,Valley Forge National Historical Park,National Historical Park,PA,"1,990,881",2014
JEFF,Jefferson National Expansion Memorial,National Memorial,MO,"1,817,091",2014
HAVO,Hawai'i Volcanoes National Park,National Park,HI,"1,693,005",2014
FOPO,Fort Point National Historic Site,National Historic Site,CA,"1,677,457",2014
VALR,World War II Valor in the Pacific National Monument,National Monument,HI,"1,620,814",2014
JOTR,Joshua Tree National Park,National Park,CA,"1,589,904",2014
INDU,Indiana Dunes National Lakeshore,National Lakeshore,IN,"1,553,372",2014
CANA,Canaveral National Seashore,National Seashore,FL,"1,451,225",2014
BRCA,Bryce Canyon National Park,National Park,UT,"1,435,741",2014
HOSP,Hot Springs National Park,National Park,AR,"1,424,484",2014
SLBE,Sleeping Bear Dunes National Lakeshore,National Lakeshore,MI,"1,395,401",2014
SAAN,San Antonio Missions National Historical Park,National Historical Park,TX,"1,395,337",2014
SAJU,San Juan National Historic Site,National Historic Site,PR,"1,382,906",2014
BUFF,Buffalo National River,National River,AR,"1,357,057",2014
OZAR,Ozark National Scenic Riverways,National Scenic Riverway,MO,"1,296,437",2014
ARCH,Arches National Park,National Park,UT,"1,284,767",2014
JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway,WY,"1,264,842",2014
MORA,Mount Rainier National Park,National Park,WA,"1,264,259",2014
SHEN,Shenandoah National Park,National Park,VA,"1,255,321",2014
BICY,Big Cypress National Preserve,National Preserve,FL,"1,192,856",2014
LARO,Lake Roosevelt National Recreation Area,National Recreation Area,WA,"1,180,898",2014
CHIC,Chickasaw National Recreation Area,National Recreation Area,OK,"1,152,083",2014
HALE,Haleakala National Park,National Park,HI,"1,142,040",2014
AMIS,Amistad National Recreation Area,National Recreation Area,TX,"1,130,096",2014
NERI,New River Gorge National River,National River,VA,"1,124,799",2014
TIMU,Timucuan Ecological and Historic Preserve,Ecological and Historic Preserve,FL,"1,121,318",2014
EVER,Everglades National Park,National Park,FL,"1,110,901",2014
DEVA,Death Valley National Park,National Park,CA,"1,101,312",2014
KLGO,Klondike Gold Rush National Historical Park,National Historical Park,AK,"1,085,202",2014
MIMA,Minute Man National Historical Park,National Historical Park,MA,"1,056,549",2014
MUWO,Muir Woods National Monument,National Monument,CA,"1,049,400",2014
SEQU,Sequoia National Park,National Park,CA,"1,039,137",2014
GETT,Gettysburg National Military Park,National Military Park,PA,"1,020,702",2014
CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,GA,"996,694",2014
CURE,Curecanti National Recreation Area,National Recreation Area,CO,"931,367",2014
CABR,Cabrillo National Monument,National Monument,CA,"893,434",2014
CUGA,Cumberland Gap National Historical Park,National Historical Park,KY,"879,934",2014
FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,VA,"873,328",2014
BADL,Badlands National Park,National Park,SD,"868,094",2014
WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,CA,"851,901",2014
PEFO,Petrified Forest National Park,National Park,AZ,"836,799",2014
FOSU,Fort Sumter National Monument,National Monument,SC,"828,521",2014
CACH,Canyon de Chelly National Monument,National Monument,AZ,"827,761",2014
FOVA,Fort Vancouver National Historic Site,National Historic Site,WA,"803,740",2014
CARE,Capitol Reef National Park,National Park,UT,"786,514",2014
FOMC,Fort McHenry National Monument and Historic Shrine,National Monument,MD,"769,300",2014
MALU,"Martin Luther King, Jr., National Historic Site",National Historic Site,GA,"766,030",2014
CEBR,Cedar Breaks National Monument,National Monument,UT,"762,907",2014
CASA,Castillo de San Marcos National Monument,National Monument,FL,"760,708",2014
ROLA,Ross Lake National Recreation Area,National Recreation Area,WA,"710,612",2014
GOIS,Governors Island National Monument,National Monument,NY,"698,227",2014
SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area,CA,"694,714",2014
LAMR,Lake Meredith National Recreation Area,National Recreation Area,TX,"692,195",2014
SAGU,Saguaro National Park,National Park,AZ,"673,572",2014
ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial,VA,"671,638",2014
SACN,Saint Croix National Scenic Riverway,National Scenic Riverway,WI,"671,582",2014
FOTH,Ford's Theatre National Historic Site,National Historic Site,DC,"655,441",2014
BISO,Big South Fork National River and Recreation Area,National River and Recreation Area,TN,"599,906",2014
PAIS,Padre Island National Seashore,National Seashore,TX,"578,815",2014
WHHO,White House,Other Designation,DC,"569,391",2014
FOMA,Fort Matanzas National Monument,National Monument,FL,"568,529",2014
THRO,Theodore Roosevelt National Park,National Park,ND,"559,580",2014
MOJA,Mojave National Preserve,National Preserve,CA,"554,560",2014
VICK,Vicksburg National Military Park,National Military Park,LA,"550,874",2014
WICA,Wind Cave National Park,National Park,SD,"547,022",2014
CANY,Canyonlands National Park,National Park,UT,"542,431",2014
CRLA,Crater Lake National Park,National Park,OR,"535,508",2014
DENA,Denali National Park,National Park,AK,"531,315",2014
DENA,Denali National Preserve,National Park,AK,"531,315",2014
PIRO,Pictured Rocks National Lakeshore,National Lakeshore,MI,"527,897",2014
BISC,Biscayne National Park,National Park,FL,"525,745",2014
MACA,Mammoth Cave National Park,National Park,KY,"522,628",2014
LOWE,Lowell National Historical Park,National Historical Park,MA,"514,524",2014
MANA,Manassas National Battlefield Park,National Battlefield Park,VA,"514,140",2014
WHSA,White Sands National Monument,National Monument,NM,"503,660",2014
KICA,Kings Canyon National Park,National Park,CA,"502,268",2014
MEVE,Mesa Verde National Park,National Park,CO,"501,563",2014
GLBA,Glacier Bay National Park,National Park,AK,"500,727",2014
GLBA,Glacier Bay National Preserve,National Preserve,AK,"500,727",2014
FOWA,Fort Washington Park,Other Designation,MD,"466,078",2014
JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,LA,"445,524",2014
DETO,Devils Tower National Monument,National Monument,WY,"440,875",2014
LAVO,Lassen Volcanic National Park,National Park,CA,"432,977",2014
CALO,Cape Lookout National Seashore,National Seashore,NC,"430,927",2014
WRBR,Wright Brothers National Memorial,National Memorial,NC,"430,517",2014
REDW,Redwood National Park,National Park,CA,"429,166",2014
VIIS,Virgin Islands National Park,National Park,VI,"426,930",2014
WAMO,Washington Monument,National Memorial,DC,"423,170",2014
COLM,Colorado National Monument,National Monument,CO,"416,862",2014
SHIL,Shiloh National Battlefield,National Battlefield,MS,"409,086",2014
BOAF,Boston African American National Historic Site,National Historic Site,MA,"408,641",2014
MOCA,Montezuma Castle National Monument,National Monument,AZ,"407,017",2014
SAMA,Salem Maritime National Historic Site,National Historic Site,MA,"403,758",2014
PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park,HI,"401,808",2014
VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,NY,"398,447",2014
CAVE,Carlsbad Caverns National Park,National Park,NM,"397,309",2014
WOTR,Wolf Trap National Park for the Performing Arts,National Park,VA,"388,283",2014
FOPU,Fort Pulaski National Monument,National Monument,GA,"387,010",2014
FIIS,Fire Island National Seashore,National Seashore,NY,"384,343",2014
CHIS,Channel Islands National Park,National Park,CA,"342,161",2014
DESO,De Soto National Memorial,National Memorial,FL,"342,039",2014
ANTI,Antietam National Battlefield,National Battlefield,MD,"337,079",2014
PRWI,Prince William Forest Park,Park,VA,"315,072",2014
BIBE,Big Bend National Park,National Park,TX,"314,102",2014
APIS,Apostle Islands National Lakeshore,National Lakeshore,WI,"290,059",2014
FLNI,Flight 93 National Memorial,National Memorial,PA,"284,226",2014
LIBI,Little Bighorn Battlefield National Monument,National Monument,MT,"281,436",2014
APCO,Appomattox Court House National Historical Park,National Historical Park,VA,"278,776",2014
NEBE,New Bedford Whaling National Historical Park,National Historical Park,MA,"272,731",2014
STRI,Stones River National Battlefield,National Battlefield,TN,"272,499",2014
GRSA,Great Sand Dunes National Park,National Park,CO,"271,774",2014
GRSA,Great Sand Dunes National Preserve,National Preserve,CO,"271,774",2014
KEFJ,Kenai Fjords National Park,National Park,AK,"270,666",2014
SAJH,San Juan Island National Historical Park,National Historical Park,WA,"268,946",2014
WAPA,War in the Pacific National Historical Park,War in the Pacific,GU,"266,191",2014
FORA,Fort Raleigh National Historic Site,National Historic Site,NC,"264,987",2014
MORR,Morristown National Historical Park,National Historical Park,NJ,"264,363",2014
FODO,Fort Donelson National Battlefield,National Battlefield,TN,"262,317",2014
HAFE,Harpers Ferry National Historical Park,National Historical Park,WV,"261,202",2014
LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial,DC,"254,167",2014
KIMO,Kings Mountain National Military Park,National Military Park,SC,"251,093",2014
DINO,Dinosaur National Monument,National Monument,CO,"250,625",2014
LEWI,Lewis and Clark National Historical Park,National Historical Park,WA,"244,921",2014
ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,KY,"241,264",2014
VOYA,Voyageurs National Park,National Park,MN,"239,160",2014
UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River,PA,"230,845",2014
FOFR,Fort Frederica National Monument,National Monument,GA,"228,103",2014
LIRI,Little River Canyon National Preserve,National Preserve,AL,"224,931",2014
ORPI,Organ Pipe Cactus National Monument,National Monument,AZ,"224,548",2014
BICA,Bighorn Canyon National Recreation Area,National Recreation Area,WY,"224,083",2014
NEPE,Nez Perce National Historical Park,National Historical Park,WA,"221,439",2014
FONE,Fort Necessity National Battlefield,National Battlefield,PA,"219,546",2014
LIHO,Lincoln Home National Historic Site,National Historic Site,IL,"218,132",2014
OBRI,Obed Wild and Scenic River,Wild and Scenic River,TN,"215,767",2014
NATC,Natchez National Historical Park,National Historical Park,MS,"215,257",2014
CRMO,Craters of the Moon National Monument,National Monument,ID,"214,993",2014
PETE,Petersburg National Battlefield,National Battlefield,VA,"205,572",2014
COWP,Cowpens National Battlefield,National Battlefield,SC,"200,836",2014
PINN,Pinnacles National Park,National Park,CA,"196,635",2014
WUPA,Wupatki National Monument,National Monument,AZ,"195,962",2014
CATO,Catoctin Mountain Park,Other Designation,MD,"188,170",2014
FOCA,Fort Caroline National Memorial,National Memorial,FL,"187,843",2014
JODA,John Day Fossil Beds National Monument,National Monument,OR,"183,420",2014
BLCA,Black Canyon of the Gunnison National Park,National Park,CO,"183,045",2014
RICH,Richmond National Battlefield Park,National Battlefield Park,VA,"179,552",2014
HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,NY,"179,340",2014
ADAM,Adams National Historical Park,National Historical Park,MA,"178,468",2014
SUCR,Sunset Crater Volcano National Monument,National Monument,AZ,"176,723",2014
GUCO,Guilford Courthouse National Military Park,National Military Park,NC,"173,261",2014
ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,PA,"172,883",2014
GUMO,Guadalupe Mountains National Park,National Park,TX,"166,868",2014
ELMA,El Malpais National Monument,National Monument,NM,"164,063",2014
WICR,Wilson's Creek National Battlefield,National Battlefield,MO,"161,058",2014
SITK,Sitka National Historical Park,National Historical Park,AK,"157,297",2014
KAHO,Kaloko-Honokohau National Historical Park,National Historical Park,HI,"154,206",2014
THIS,Theodore Roosevelt Island,National Memorial,DC,"146,500",2014
JOFL,Johnstown Flood National Memorial,National Memorial,PA,"141,354",2014
HEHO,Herbert Hoover National Historic Site,National Historic Site,IA,"139,086",2014
LABE,Lava Beds National Monument,National Monument,CA,"138,499",2014
FEHA,Federal Hall National Memorial,National Memorial,NY,"137,538",2014
WACA,Walnut Canyon National Monument,National Monument,AZ,"135,230",2014
MNRR,Missouri National Recreation River,National Recreation River,SD,"134,760",2014
PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site,HI,"134,734",2014
GREE,Greenbelt Park,Other Designation,MD,"132,688",2014
GEWA,George Washington Birthplace National Monument,National Monument,VA,"131,984",2014
BAND,Bandelier National Monument,National Monument,NM,"130,106",2014
PEVI,Perry's Victory and International Peace Memorial,National Memorial,OH,"129,440",2014
ANDE,Andersonville National Historic Site,National Historic Site,GA,"127,189",2014
GERO,George Rogers Clark National Historical Park,National Historical Park,IN,"125,218",2014
OCMU,Ocmulgee National Monument,National Monument,GA,"122,799",2014
CONG,Congaree National Park,National Park,SC,"120,122",2014
SCBL,Scotts Bluff National Monument,National Monument,NE,"119,159",2014
CORO,Coronado National Memorial,National Memorial,AZ,"118,838",2014
GARI,Gauley River National Recreation Area,National Recreation Area,WV,"117,354",2014
CHSC,Little Rock Central High School National Historic Site,National Historic Site,AR,"115,908",2014
PETR,Petroglyph National Monument,National Monument,NM,"115,859",2014
DEPO,Devils Postpile National Monument,National Monument,CA,"114,414",2014
BITH,Big Thicket National Preserve,National Preserve,TX,"109,956",2014
PISC,Piscataway Park,Other Designation,MD,"109,473",2014
CHRI,Christiansted National Historic Site,National Historic Site,VI,"109,159",2014
CHAM,Chamizal National Memorial,National Memorial,TX,"108,399",2014
GRBA,Great Basin National Park,National Park,NV,"107,526",2014
PERI,Pea Ridge National Military Park,National Military Park,AR,"104,686",2014
JECA,Jewel Cave National Monument,National Monument,SD,"104,348",2014
GEGR,General Grant National Memorial,National Memorial,NY,"100,622",2014
LIBO,Lincoln Boyhood National Memorial,National Memorial,IN,"99,795",2014
TICA,Timpanogos Cave National Monument,National Monument,UT,"95,679",2014
CIRO,City of Rocks National Reserve,National Reserve,ID,"94,825",2014
GRPO,Grand Portage National Monument,National Monument,MI,"88,877",2014
FOSM,Fort Smith National Historic Site,National Historic Site,AR,"88,790",2014
LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,TX,"88,427",2014
MOCR,Moores Creek National Battlefield,National Battlefield,NC,"87,774",2014
NABR,Natural Bridges National Monument,National Monument,UT,"87,119",2014
MISS,Mississippi National River and Recreation Area,National River and Recreation Area,MN,"85,637",2014
STEA,Steamtown National Historic Site,National Historic Site,PA,"84,257",2014
CARL,Carl Sandburg Home National Historic Site,National Historic Site,NC,"82,377",2014
HUTR,Hubbell Trading Post National Historic Site,National Historic Site,AZ,"81,475",2014
EFMO,Effigy Mounds National Monument,National Monument,IA,"77,812",2014
MANZ,Manzanar National Historic Site,National Historic Site,CA,"77,633",2014
TUZI,Tuzigoot National Monument,National Monument,AZ,"74,903",2014
WRST,Wrangell-St. Elias National Park,National Park,AK,"74,722",2014
WRST,Wrangell-St. Elias National Preserve,National Preserve,AK,"74,722",2014
ORCA,Oregon Caves National Monument and Preserve,National Monument,OR,"69,405",2014
HOME,Homestead National Monument of America,National Monument,NE,"69,156",2014
KALA,Kalaupapa National Historical Park,National Historical Park,HI,"67,210",2014
NAVA,Navajo National Monument,National Monument,AZ,"65,778",2014
NISI,Ninety Six National Historic Site,National Historic Site,SC,"65,688",2014
DRTO,Dry Tortugas National Park,National Park,FL,"64,865",2014
HOBE,Horseshoe Bend National Military Park,National Military Park,AL,"64,359",2014
CAGR,Casa Grande Ruins National Monument,National Monument,AZ,"63,698",2014
FLFO,Florissant Fossil Beds National Monument,National Monument,CO,"63,297",2014
RABR,Rainbow Bridge National Monument,National Monument,UT,"62,910",2014
PIPE,Pipestone National Monument,National Monument,MN,"62,151",2014
MIMI,Minuteman Missile National Historic Site,National Historic Site,SD,"62,058",2014
JICA,Jimmy Carter National Historic Site,National Historic Site,GA,"62,057",2014
CUIS,Cumberland Island National Seashore,National Seashore,GA,"61,401",2014
FOST,Fort Stanwix National Monument,National Monument,NY,"60,819",2014
ELRO,Eleanor Roosevelt National Historic Site,National Historic Site,NY,"60,456",2014
SARA,Saratoga National Historical Park,National Historical Park,NY,"58,773",2014
WHMI,Whitman Mission National Historic Site,National Historic Site,WA,"58,499",2014
EISE,Eisenhower National Historic Site,National Historic Site,PA,"58,240",2014
DAAV,Dayton Aviation Heritage National Historical Park,National Historical Park,OH,"57,565",2014
PISP,Pipe Spring National Monument,National Monument,AZ,"56,484",2014
MONO,Monocacy National Battlefield,National Battlefield,MD,"56,187",2014
RIRA,River Raisin National Battlefield Park,National Battlefield Park,MI,"55,281",2014
AFBG,African Burial Ground National Monument,National Monument,NY,"54,861",2014
PAAV,Pennsylvania Avenue National Historic Site,National Historic Site,DC,"54,035",2014
CHPI,Charles Pinckney National Historic Site,National Historic Site,SC,"53,486",2014
NIOB,Niobrara National Scenic River,National Scenic River,NE,"53,443",2014
ROWI,Roger Williams National Memorial,National Memorial,RI,"51,523",2014
EDIS,Thomas Edison National Historical Park,National Historic Site,NJ,"51,344",2014
CAVO,Capulin Volcano National Monument,National Monument,NM,"50,892",2014
FODA,Fort Davis National Historic Site,National Historic Site,TX,"49,842",2014
FOLA,Fort Laramie National Historic Site,National Historic Site,WY,"49,038",2014
HOFU,Hopewell Furnace National Historic Site,National Historic Site,PA,"48,105",2014
LONG,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site,MA,"46,371",2014
ELMO,El Morro National Monument,National Monument,NM,"46,256",2014
RORI,Rosie the Riveter/World War II Home Front National Historical Park,National Historical Park,CA,"45,549",2014
FRDO,Frederick Douglass National Historic Site,National Historic Site,DC,"45,492",2014
CHIR,Chiricahua National Monument,National Monument,AZ,"45,125",2014
AZRU,Aztec Ruins National Monument,National Monument,NM,"44,721",2014
GOSP,Golden Spike National Historic Site,National Historic Site,UT,"44,125",2014
ANJO,Andrew Johnson National Historic Site,National Historic Site,TN,"42,863",2014
GWCA,George Washington Carver National Monument,National Monument,MO,"41,535",2014
JOMU,John Muir National Historic Site,National Historic Site,CA,"41,535",2014
PAAL,Palo Alto Battlefield National Historical Park,National Historical Park,TX,"41,516",2014
ULSG,Ulysses S. Grant National Historic Site,National Historic Site,MO,"40,287",2014
MABI,Marsh-Billings-Rockefeller National Historical Park,National Historical Park,VT,"39,086",2014
BLUE,Bluestone National Scenic River,National Scenic River,WV,"38,450",2014
CHCU,Chaco Culture National Historical Park,National Historical Park,NM,"38,386",2014
PECO,Pecos National Historical Park,National Historical Park,NM,"38,256",2014
TUMA,Tumacacori National Historical Park,National Historical Park,AZ,"38,017",2014
SAGA,Saint-Gaudens National Historic Site,National Historic Site,NH,"37,785",2014
BIHO,Big Hole National Battlefield,National Battlefield,MT,"36,987",2014
HOCU,Hopewell Culture National Historical Park,National Historical Park,OH,"36,432",2014
TONT,Tonto National Monument,National Monument,AZ,"36,360",2014
LACH,Lake Chelan National Recreation Area,National Recreation Area,WA,"35,360",2014
BUIS,Buck Island Reef National Monument,National Monument,VI,"34,400",2014
FRHI,Friendship Hill National Historic Site,National Historic Site,PA,"34,317",2014
WEFA,Weir Farm National Historic Site,National Historic Site,CT,"34,082",2014
HAMP,Hampton National Historic Site,National Historic Site,MD,"32,498",2014
GICL,Gila Cliff Dwellings National Monument,National Monument,NM,"31,135",2014
KATM,Katmai National Park,National Park,AK,"30,896",2014
KATM,Katmai National Preserve,National Preserve,AK,"30,896",2014
ARPO,Arkansas Post National Memorial,National Memorial,AR,"30,860",2014
SAPU,Salinas Pueblo Missions National Monument,National Monument,NM,"30,537",2014
WORI,Women's Rights National Historical Park,National Historical Park,NY,"30,254",2014
HSTR,Harry S Truman National Historic Site,National Historic Site,MO,"29,364",2014
CARI,Cane River Creole National Historical Park,National Historical Park,LA,"28,981",2014
BRVB,Brown v. Board of Education National Historic Site,National Historic Site,KS,"26,868",2014
HOVE,Hovenweep National Monument,National Monument,UT,"26,808",2014
JOFI,John Fitzgerald Kennedy National Historic Site,National Historic Site,MA,"26,273",2014
BOWA,Booker T. Washington National Monument,National Monument,VA,"26,127",2014
FOSC,Fort Scott National Historic Site,National Historic Site,KS,"25,966",2014
FOLS,Fort Larned National Historic Site,National Historic Site,KS,"24,607",2014
BEOL,Bent's Old Fort National Historic Site,National Historic Site,CO,"24,555",2014
TUAI,Tuskegee Airmen National Historic Site,National Historic Site,AL,"24,319",2014
NOCA,North Cascades National Park,National Park,WA,"23,865",2014
WIHO,William Howard Taft National Historic Site,National Historic Site,OH,"23,609",2014
HAFO,Hagerman Fossil Beds National Monument,National Monument,ID,"22,482",2014
THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site,NY,"22,025",2014
THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site,NY,"21,065",2014
HAGR,Hamilton Grange National Memorial,National Memorial,NY,"20,943",2014
SPAR,Springfield Armory National Historic Site,National Historic Site,MA,"20,595",2014
GRKO,Grant-Kohrs Ranch National Historic Site,National Historic Site,MT,"20,565",2014
CLBA,Clara Barton National Historic Site,National Historic Site,MD,"20,028",2014
SAHI,Sagamore Hill National Historic Site,National Historic Site,NY,"19,319",2014
MAVA,Martin Van Buren National Historic Site,National Historic Site,NY,"19,187",2014
RUCA,Russell Cave National Monument,National Monument,AL,"18,530",2014
JAGA,James A. Garfield National Historic Site,National Historic Site,OH,"17,956",2014
TAPR,Tallgrass Prairie National Preserve,National Preserve,KS,"17,776",2014
FOBU,Fossil Butte National Monument,National Monument,WY,"16,623",2014
SAPA,Saint Paul's Church National Historic Site,National Historic Site,NY,"16,460",2014
LACL,Lake Clark National Park,National Park,AK,"16,100",2014
LACL,Lake Clark National Preserve,National Preserve,AK,"16,100",2014
FILA,First Ladies National Historic Site,National Historic Site,OH,"15,326",2014
ISRO,Isle Royale National Park,National Park,MI,"14,560",2014
NPSA,National Park of American Samoa,National Park,AS,"13,953",2014
EDAL,Edgar Allan Poe National Historic Site,National Historic Site,PA,"13,701",2014
WABA,Washita Battlefield National Historic Site,National Historic Site,OK,"13,186",2014
GAAR,Gates of the Arctic National Park,National Park,AK,"12,669",2014
GAAR,Gates of the Arctic National Preserve,National Preserve,AK,"12,669",2014
AGFO,Agate Fossil Beds National Monument,National Monument,NE,"12,440",2014
TUIN,Tuskegee Institute National Historic Site,National Historic Site,AL,"11,786",2014
SACR,Saint Croix Island International Historic Site,International Historic Site,ME,"11,588",2014
FOUS,Fort Union Trading Post National Historic Site,National Historic Site,ND,"11,521",2014
SAIR,Saugus Iron Works National Historic Site,National Historic Site,MA,"11,181",2014
WICL,President William Jefferson Clinton Birthplace Home National Historic Site,National Historic Site,AR,"11,113",2014
FOUN,Fort Union National Monument,National Monument,NM,"10,934",2014
KNRI,Knife River Indian Villages National Historic Site,National Historic Site,ND,"10,750",2014
MABE,Mary McLeod Bethune Council House National Historic Site,National Historic Site,DC,"9,295",2014
MAWA,Maggie L. Walker National Historic Site,National Historic Site,VA,"9,045",2014
CECH,Casar E. Chpvez National Monument,National Monument,CA,"8,854",2014
FRLA,Frederick Law Olmsted National Historic Site,National Historic Site,MA,"8,667",2014
SAND,Sand Creek Massacre National Historic Site,National Historic Site,CO,"7,402",2014
FOBO,Fort Bowie National Historic Site,National Historic Site,AZ,"6,964",2014
THST,Thomas Stone National Historic Site,National Historic Site,MD,"5,843",2014
SARI,Salt River Bay National Historical Park and Ecological Preserve,National Historical Park,VI,"5,192",2014
ALFL,Alibates Flint Quarries National Monument,National Monument,TX,"4,513",2014
NICO,Nicodemus National Historic Site,National Historic Site,KS,"3,374",2014
EUON,Eugene O'Neill National Historic Site,National Historic Site,CA,"3,202",2014
BELA,Bering Land Bridge National Preserve,National Preserve,AK,"2,636",2014
YUCH,Yukon-Charley Rivers National Preserve,National Preserve,AK,"2,329",2014
THKO,Thaddeus Kosciuszko National Memorial,National Memorial,PA,"1,475",2014
POCH,Port Chicago Naval Magazine National Memorial,National Memorial,CA,786,2014
RIGR,Rio Grande Wild and Scenic River,Wild and Scenic River,TX,321,2014
ANIA,Aniakchak National Monument,National Monument,AK,134,2014
ANIA,Aniakchak National Preserve,National Preserve,AK,134,2014
CAKR,Cape Krusenstern National Monument,National Monument,AK, -   ,2014
KOVA,Kobuk Valley National Park,National Park,AK, -   ,2014
NOAT,Noatak National Preserve,National Preserve,AK, -   ,2014
GOGA,Golden Gate National Recreation Area,National Recreation Area,CA,"14,289,121",2013
